id	subject	question	answer	notes	tags
1	Introduction	Change HTML content	"```javascript
document.getElementById(“demo”).innerHTML = “hello javascript”;
```"		
2	Introduction	Change HTML styles (CSS)	"```javascript
document.getElementById(“demo”).style.display = “none”;
```"		
3	Where to (apply JS to the HTML)	External javascript files (load into the HTML)	<code>&lt;script src=”myScript1.js”&gt;&lt;/script&gt;</code>		
4	Output	Javascript display possibilities	"### Ways to Output JavaScript Content:

1. **Writing into an HTML element** using `innerHTML`:
   ```js
   document.getElementById(""demo"").innerHTML = ""asdf"";
   ```
   
2. **Writing into the HTML document** using `document.write()` (Note: This will overwrite all existing HTML if used after the document has loaded):
   ```js
   document.write(""asdf"");
   ```

3. **Displaying an alert box** using `window.alert()`:
   ```js
   window.alert(""asdf"");
   ```

4. **Logging output to the browser console** using `console.log()`:
   ```js
   console.log(""asdf"");
   ```"		
5	Output	ES6 variables in the string (no w3)	"### String Interpolation in JavaScript

In other languages, there are ways to embed variables within strings.  

#### **ES5 (Before Template Literals)**
We had to concatenate strings manually:  
```js
var name = 'Your name is ' + first + ' ' + last + '.';
var fourAgreements = 'You have the right to be you.\n\
  You can only be you when you do your best.';
```

#### **ES6 (Template Literals)**
With backticks (`` ` ``), we can embed variables using `${}`:  
```js
var name = `Your name is ${first} ${last}.`;
var fourAgreements = `You have the right to be you.
  You can only be you when you do your best.`;
```"		
6	Syntax	Fixed values and variable values	"### **Literals, Variables, and Expressions in JavaScript**  

- **Literals**: Fixed values.  
- **Variables**: Containers for storing values.  

#### **Example**  
```js
var x = ""asdf""; // Variable assigned a literal value
```

- **Expressions**: A combination of values, variables, and operators that evaluates to a value.  

#### **Example**  
```js
var result = x * 10;
```"		
7	Variables	Name terminology	All variables must be identified with unique names. These unique names are called <i><b>identifiers</b></i>.		
8	Variables	Declare variables	"### **JavaScript Variable Initialization and Scope**  

```js
var personName = ""pepe"";
```

- **Always initialize variables** when declaring them.  
- **Uninitialized variables** have the value `undefined`.  
- **Re-declaring a variable** does not reset its value.  
- **Assigning a value without declaring a variable** makes it **global**, even if it's inside a function.  

#### **Example**  
```js
function test() {
    newVariable = ""I'm global"";
}
test();
console.log(newVariable); // Accessible globally
```"		
9	Operators	String operators	"### **JavaScript Operators**  

#### **Arithmetic Operators**  
| Operator  | Description                      |
|-----------|----------------------------------|
| `+`       | Addition                         |
| `-`       | Subtraction                      |
| `*`       | Multiplication                   |
| `**`      | Exponentiation (ES2016)         |
| `/`       | Division                         |
| `%`       | Modulus (Division Remainder)     |
| `++`      | Increment                        |
| `--`      | Decrement                        |

#### **Assignment Operators**  
| Operator  | Example   | Same As              |
|-----------|----------|----------------------|
| `=`       | `x = y`  | `x = y`              |
| `+=`      | `x += y` | `x = x + y`          |
| `-=`      | `x -= y` | `x = x - y`          |
| `*=`      | `x *= y` | `x = x * y`          |
| `/=`      | `x /= y` | `x = x / y`          |
| `%=`      | `x %= y` | `x = x % y`          |
| `**=`     | `x **= y`| `x = x ** y`         |

#### **Comparison Operators**  
| Operator  | Description                                |
|-----------|--------------------------------------------|
| `==`      | Equal to                                  |
| `===`     | Equal value and equal type               |
| `!=`      | Not equal                                |
| `!==`     | Not equal value or not equal type        |
| `&gt;`       | Greater than                             |
| `&lt;`       | Less than                                |
| `&gt;=`      | Greater than or equal to                 |
| `&lt;=`      | Less than or equal to                    |
| `?`       | Ternary operator                         |

&gt; **Note:** Comparison operators also work on strings.

#### **String Concatenation with `+`**  
```js
let text1 = ""John"";
let text2 = ""Doe"";
let text3 = text1 + "" "" + text2; // ""John Doe""
```

#### **Logical Operators**  
| Operator  | Description   |
|-----------|--------------|
| `&amp;&amp;`      | Logical AND  |
| `||`      | Logical OR   |
| `!`       | Logical NOT  |

#### **Type and Object Operators**  
| Operator      | Description                                    |
|--------------|-----------------------------------------------|
| `typeof`     | Returns the type of a variable               |
| `instanceof` | Returns `true` if an object is an instance of a type |"		
10	Operators	The Spread/rest operator (no w3)	"### **The Spread (`...`) Operator in JavaScript (ES6)**  

The `...` operator simplifies code and allows for more flexible operations.  

#### **Expanding Arrays**  
```js
let first = ['foo', 'bar'];
let second = ['other foo', ...first, 'other bar']; 
// ['other foo', 'foo', 'bar', 'other bar']
```

#### **Merging Objects (Immutability-Friendly)**  
```js
let first = { foo: 'foo' };
let zeta = { ...first, bar: 'bar' }; 
// { foo: 'foo', bar: 'bar' }
```

#### **Rest Parameters in Functions**  
```js
function myFun(a, b, ...manyMoreArgs) {
  console.log(a);
  console.log(b);
  console.log(manyMoreArgs);
}
myFun('one', 'two', 'three', 'four');
// 'one'
// 'two'
// ['three', 'four']
```"		
